Name,Location,Open Year-Round,Handicap Accessible,Borough,Comments,Latitude,Longitude
Coney Island Beach,W 22 ST.,No,Yes,Brooklyn,,40.5761548,-73.9890093
Conference House Park,"Pittsville St,Hylan Blvd.,Surf,Richard Aves",,Yes,Staten Island,This facility is currently closed,40.5464584,-74.1414633
Cooper Park,"Sharon, Olive streets, Maspeth & Morgan avenues",Yes,,Brooklyn,,40.7167763,-73.9363177
Corona Golf Playground,109 Street between 46-47 avenues,Yes,,Queens,,40.7412266,-73.9183522
Corporal John A. Seravalli Playground,Hudson & Horatio streets,Yes,,Manhattan,,40.7387624,-74.0054984
Corporal Thompson Park,"Broadway, Henderson Avenue",No,,Staten Island,,40.636654,-74.117699
Corporal Thompson Park/West Brighton Pool,"Broadway, Henderson Avenue",No,Yes,Staten Island,,40.636654,-74.117699
Crocheron Park Field House,"34th Avenue, 214th Place, 34th Road, 214th Lane, 35th Avenue, & 216th Street",Yes,,Queens,,40.776662,-73.7702967
Crotona Park (Martin Van Buren Playground),Crotona East & Claremont Parkway,Yes,,Bronx,,40.83649550000001,-73.89776599999999
Crotona Park (Playground of the Stars),Fulton Avenue & Crotona Park South,Yes,,Bronx,,40.8354996,-73.9012832
Crotona Park (Pool House),173rd Street and Fulton Avenue,Yes,Yes,Bronx,,40.8406852,-73.8982801
Crotona Park Environmental Center,"Crotona Park North, Crotona Park South, Crotona Park East, Fulton Avenue",Yes,,Bronx,,40.8413665,-73.8927009
Crowley Playground,57 Avenue & 83 Street,Yes,,Queens,,40.7297203,-73.88007879999999
Cunningham Park,"Union Turnpike, Clearview Expressway, 73rd Avenue, Francis Lewis Boulevard",Yes,,Queens,,40.7363079,-73.77279759999999
Cunningham Park (210th Street Playground),210 Street & 73 Avenue,Yes,,Queens,,40.7391723,-73.7635976
Cunningham Park (HQ8),"South of Union Turnpike, between Francis Lewis Boulevard & 193rd Street",Yes,Yes,Queens,,40.7241362,-73.7639261
Cypress Hills Park,Blake & Euclid avenues,Yes,,Brooklyn,,40.676033,-73.8720666
Daniel M. O'Connell Playground,113 Avenue & 196 Street,Yes,,Queens,,40.700413,-73.7588353
De Witt Clinton Park,"West 52 to West 54 streets, 11 to 12 avenues",Yes,Yes,Manhattan,,40.7607432,-74.0020717
Dematti Playground,"Tompkins Avenue, Chestnut Avenue",Yes,,Staten Island,,40.615587,-74.0735771
Detective Keith L. Williams Park,"106 Avenue, 173 Street, Liberty Avenue, 172 Street",Yes,,Queens,,40.704192,-73.78598219999999
Devoe Park,"West Fordham Road, University Avenue, Sedgwick Avenue, Father Zeiser Place",Yes,,Bronx,,40.8637387,-73.9056412
Digilio Playground,McDonald Avenue & Avenue F,Yes,,Brooklyn,,40.6331689,-73.9776328
Dimattina Playground,Hicks & Rapelye streets,Yes,,Brooklyn,,40.6805621,-74.0029059
Ditmars Park Playground,23 Avenue to Ditmars Boulevard,Yes,,Queens,,40.7689979,-73.8893335
Double Nickel Playground,Osborne Street and Preston Avenue,Yes,Yes,Staten Island,,40.5369547,-74.1617987
Downing Street Playground,"Downing to Carmine streets, Avenue of the Americas",Yes,,Manhattan,,40.7305359,-74.00172789999999
Dr. Charles R. Drew Memorial Park,"Van Wyck Expressway, 116 Avenue, 140 Street, 115 Avenue",Yes,,Queens,,40.6801011,-73.8017272
Dr. Martin Luther King Jr. Park,"Dumont, Blake, Miller avenues",Yes,,Brooklyn,,40.6707374,-73.8907346
Dr. Richard Greene Playground,Mother Gaston Boulevard (Stone Avenue) & Sutter avenues,Yes,,Brooklyn,,40.6693045,-73.9019022
Drew Playground,"Fulton Avenue, East 169 Street",Yes,,Bronx,,40.8322219,-73.9034334
Dry Dock Playground,"East 10 Street & Szold Place, Avenue D",No,,Manhattan,,40.7253338,-73.9762191
Dugan Playground,Mill Road & Tysens Lane,Yes,,Staten Island,,40.5614573,-74.11225089999999
Dutch Kills Playground (PS 112),"Crescent-28 streets, 36 Avenue, 37 Avenue",Yes,,Queens,,40.7566048,-73.92966849999999
Dyckman House Museum,Broadway & West 204 Street,Yes,,Manhattan,,40.86702289999999,-73.9231162
Dyker Beach Park,"Shore Parkway, 86 Street, 7 to 14 avenues",Yes,,Brooklyn,,40.6249322,-73.9990462
East Elmhurst Playground (PS 127),25 Avenue & 98 Street,Yes,Yes,Queens,,40.764625,-73.87177299999999
East River Park (10th Street),Northern extreme of park,Yes,,Manhattan,,40.7830603,-73.9712488
East River Park (Tennis Courts),East River Park at Broome Street,Yes,,Manhattan,,40.7216103,-73.9994554
East River Park (Track Building),East 6 Street & FDR Drive,Yes,,Manhattan,,40.7216141,-73.9747562
