Name;STATE;COUNTY;TRACT;GEOID;;;
Prospect Park (West Parade Grounds);36;47;44200;364744200;;;
Prospect Park (Willink Hill);36;47;32700;364732700;;;
Prospect Park (Willink Hill);36;47;32700;364732700;;;
Prospect Park (Wollman Rink & Flower Garden);36;47;17700;364717700;;;
PS 1 Playground;36;47;1803;36471803;;;
PS 155 Playground;36;61;11800;366111800;;;
PS 286 Playground;36;47;57200;364757200;;;
PS 59 Sumner Playground;36;81;55300;368155300;;;
Quarry Ballfields;36;5;37504;36537504;;;
Queens Farm Museum;36;81;157101;3681157101;;;
Queensbridge Park;36;81;124700;3681124700;;;
Railroad Playground;36;47;31300;364731300;;;
Rainey Park;36;5;12701;36512701;;;
Rainey Park;36;81;3900;36813900;;;
Randall Playground;36;5;9000;3659000;;;
Rappaport Playground;36;47;1803;36471803;;;
Real Good Park (Lie Playground);36;81;71900;368171900;;;
Red Hook Park;36;47;5302;36475302;;;
Red Hook Park;36;47;4500;36474500;;;
Red Hook Park (Coffey Park Playground);36;47;8500;36478500;;;
Red Hook Park (Recreation Center);36;47;5302;36475302;;;
Reiff Playground;36;81;59900;368159900;;;
Renaissance Playground;36;61;22700;366122700;;;
Rev. Polite Playground;36;5;13100;36513100;;;
Richman (Echo) Park Playground;36;5;38100;36538100;;;
Rienzi Playground;36;5;40600;36540600;;;
Riverbend Playground;36;5;27300;36527300;;;
Riverside Park (Boat Basin);36;61;21900;366121900;;;
Riverside Park (Café);36;61;22900;366122900;;;
Riverside Park (Claremont);36;61;20000;366120000;;;
Riverside Park (Classic Playground);36;61;22900;366122900;;;
Riverside Park (Dinosaur Playground);36;61;18300;366118300;;;
Riverside Park (Hippo Playground);36;61;17900;366117900;;;
Riverside Park (Neufeld Playground);36;61;16300;366116300;;;
Riverside Park (River Run Playground);36;61;17100;366117100;;;
Riverside Park (Riverbank Playground);36;61;22900;366122900;;;
Riverside Park (Ten Mile River Playground);36;61;23100;366123100;;;
Riverside Park (Tennis Courts);36;61;20500;366120500;;;
Robert Moses Playground;36;61;8000;36618000;;;
Rochdale Park;36;81;29400;368129400;;;
Rockaway Beach;36;81;88400;368188400;;;
Rockaway Beach;36;81;74500;368174500;;;
Rockaway Beach & Boardwalk (Beach 59th Street Playground);36;81;52500;368152500;;;
Rockaway Beach (Beach 116Th);36;81;16600;368116600;;;
Rockaway Beach 106 Comfort Station;36;81;93800;368193800;;;
Rockaway Beach 117th L/G;36;81;93402;368193402;;;
Rockaway Beach 86 Comfort Station;36;81;94202;368194202;;;
Rockaway Beach 97 Comfort Station;36;81;94201;368194201;;;
Rodney Playground South;36;47;54900;364754900;;;
Roebling Playground;36;47;53500;364753500;;;
Roger Morris Park (Morris Jumel Mansion);36;61;24301;366124301;;;
Rolf Henry Playground;36;47;80800;364780800;;;
Rose Hill Park;36;5;39700;36539700;;;
Rosemary's Playground (JHS 93);36;81;58900;368158900;;;
Roy Wilkins Recreation Center;36;81;124700;3681124700;;;
Roy Wilkins Recreation Center;36;81;124700;3681124700;;;
Rudd Playground;36;47;40500;364740500;;;
Rufus King Park;36;81;24000;368124000;;;
Russell Pederson Playground;36;47;15000;364715000;;;
Russell Sage Playground (JHS 190);36;81;71100;368171100;;;
Sara D. Roosevelt Park;36;61;3300;36613300;;;
Saratoga Square Park;36;47;37700;364737700;;;
Schmul Park;36;85;29102;368529102;;;
Seaside Playground (PS 225);36;81;93800;368193800;;;
Seth Low Playground;36;47;26600;364726600;;;
Seton Park;36;5;30100;36530100;;;
Seton Park Playground;36;5;30900;36530900;;;
Sheltering Arms Park;36;61;21303;366121303;;;
Sheltering Arms Park (Pool);36;61;21303;366121303;;;
Shore Road Park;36;47;3400;36473400;;;
Shore Road Park;36;47;62200;364762200;;;
Shore Road Park;36;47;31300;364731300;;;
Shore Road Park;36;47;8000;36478000;;;
Silver Lake Park;36;85;14700;368514700;;;
Slattery Playground;36;5;38301;36538301;;;
Slope Park;36;47;1801;36471801;;;
Smokey Oval;36;81;14202;368114202;;;
Sol Bloom Playground;36;61;17700;366117700;;;
Sol Lain Playground;36;61;202;3661202;;;
Soundview Park Playground;36;5;2001;3652001;;;
South Beach;36;85;7002;36857002;;;
South Beach (Saturn Playground);36;85;7002;36857002;;;
South Beach Wetlands;36;85;7002;36857002;;;
Space Time Playground;36;5;4200;3654200;;;
Sperandeo Brothers Playground;36;47;117000;3647117000;;;
Springfield Park;36;81;32000;368132000;;;
St Nicholas Park South;36;61;22400;366122400;;;
St. Albans Park (174 Street Playground);36;81;40000;368140000;;;
